x,result
-2,-3.946796174564038222049612E-7
-1.9,-1.455085623688719999721791E-7
-1.8,-2.883335658839244836910938E-8
-1.7,-9.711701862033805438037422E-10
-1.6,-9.133618901876420459426155E-15
-1.5,1.582776453237140698927438E-10
-1.4,0.000002502682630852529814218353
-1.3,0.0008487486256278780827030311
-1.2,0.07189844675968653324117780
-1.1,2.886364989315876069857242
-1.0,69.27437742961418301550684
-0.9,898.1967110424404438298256
-0.8,1768.095384275649888185744
-0.7,0.003096440836928062238564727
-0.6,2871760040571.606139357222
-0.5,9.903828629544376748544753E+28
-0.4,5.932548284862623544213269E+44
-0.3,8.810915175832665531984418E+62
-0.2,6.066048775529859208061769E+86
-0.1,4.788903787934732935833726E+125
0.0,
0.1,7.083984429129672192197251
0.2,5.036106852113124766750710
0.3,3.597321595299990469619429
0.4,2.575420661304410539660864
0.5,1.822479473433504829426017
0.6,1.252775558499597757517721
0.7,0.8142731430798387840307884
0.8,0.4733553165497014169762515
0.9,0.2072776654530777142903272
1.0,
1.1,-0.1601455956245216083416200
1.2,-0.2818894992730030767722380
1.3,-0.3719144238011836897974144
1.4,-0.4354374936438952367224832
1.5,-0.4765829722348734191193161
1.6,-0.4986804173666561573283858
1.7,-0.5044336352444852875956617
1.8,-0.4960710394684867790530268
1.9,-0.4754515064260407574940793
2.0,-0.4441195297923162807686492
